sample_id	sequence_length	dataset	k	n_top_k	tree_index
2	72	EA_positive	1	29.0	27
2	72	EA_positive	5	57.0	27
2	72	EA_positive	10	64.0	27
2	72	EA_positive	20	67.0	27
2	72	EA_positive	1	29.666666666666668	28
2	72	EA_positive	5	53.83333333333333	28
2	72	EA_positive	10	61.99999999999999	28
2	72	EA_positive	20	69.0	28
2	72	EA_positive	1	32.5	29
2	72	EA_positive	5	54.5	29
2	72	EA_positive	10	62.0	29
2	72	EA_positive	20	70.0	29
2	72	EA_positive	1	30.666666666666668	30
2	72	EA_positive	5	54.83333333333333	30
2	72	EA_positive	10	60.99999999999999	30
2	72	EA_positive	20	68.0	30
2	72	EA_positive	1	31.833333333333332	31
2	72	EA_positive	5	59.0	31
2	72	EA_positive	10	63.0	31
2	72	EA_positive	20	66.0	31
3	47	EA_negative	1	23.30952380952381	0
3	47	EA_negative	5	37.04761904761905	0
3	47	EA_negative	10	43.00000000000001	0
3	47	EA_negative	20	45.00000000000001	0
3	47	EA_negative	1	20.5	1
3	47	EA_negative	5	36.5	1
3	47	EA_negative	10	41.0	1
3	47	EA_negative	20	46.00000000000001	1
3	47	EA_negative	1	22.976190476190474	2
3	47	EA_negative	5	37.214285714285715	2
3	47	EA_negative	10	42.00000000000001	2
3	47	EA_negative	20	46.000000000000014	2
3	47	EA_negative	1	21.0	3
3	47	EA_negative	5	40.5	3
3	47	EA_negative	10	44.0	3
3	47	EA_negative	20	45.0	3
3	47	EA_negative	1	23.020000000000003	4
3	47	EA_negative	5	40.43333333333334	4
3	47	EA_negative	10	44.20000000000001	4
3	47	EA_negative	20	46.40000000000003	4
3	47	EA_negative	1	22.5	5
3	47	EA_negative	5	39.5	5
3	47	EA_negative	10	42.0	5
3	47	EA_negative	20	45.0	5
3	47	EA_negative	1	20.642857142857142	6
3	47	EA_negative	5	36.214285714285715	6
3	47	EA_negative	10	41.00000000000001	6
3	47	EA_negative	20	45.00000000000001	6
3	47	EA_negative	1	19.52	7
3	47	EA_negative	5	38.6	7
3	47	EA_negative	10	43.20000000000002	7
3	47	EA_negative	20	46.400000000000034	7
3	47	EA_negative	1	22.333333333333336	8
3	47	EA_negative	5	38.50000000000001	8
3	47	EA_negative	10	44.00000000000001	8
3	47	EA_negative	20	45.00000000000001	8
3	47	EA_negative	1	23.666666666666668	9
3	47	EA_negative	5	38.33333333333333	9
3	47	EA_negative	10	43.0	9
3	47	EA_negative	20	45.0	9
3	47	EA_negative	1	22.0	10
3	47	EA_negative	5	37.5	10
3	47	EA_negative	10	44.0	10
3	47	EA_negative	20	45.0	10
3	47	EA_negative	1	23.0	11
3	47	EA_negative	5	39.5	11
3	47	EA_negative	10	42.00000000000001	11
3	47	EA_negative	20	45.00000000000001	11
3	47	EA_negative	1	22.0	12
3	47	EA_negative	5	36.5	12
3	47	EA_negative	10	43.0	12
3	47	EA_negative	20	45.0	12
3	47	EA_negative	1	24.0	13
3	47	EA_negative	5	40.16666666666666	13
3	47	EA_negative	10	42.999999999999986	13
3	47	EA_negative	20	44.999999999999986	13
3	47	EA_negative	1	24.5	14
3	47	EA_negative	5	39.5	14
3	47	EA_negative	10	44.00000000000001	14
3	47	EA_negative	20	45.00000000000001	14
3	47	EA_negative	1	21.0	15
3	47	EA_negative	5	39.5	15
3	47	EA_negative	10	43.000000000000014	15
3	47	EA_negative	20	45.000000000000014	15
3	47	EA_negative	1	24.142857142857142	16
3	47	EA_negative	5	39.01428571428571	16
3	47	EA_negative	10	43.0	16
3	47	EA_negative	20	46.00000000000001	16
3	47	EA_negative	1	21.5	17
3	47	EA_negative	5	37.5	17
3	47	EA_negative	10	43.0	17
3	47	EA_negative	20	45.0	17
3	47	EA_negative	1	23.5	18
3	47	EA_negative	5	40.166666666666664	18
3	47	EA_negative	10	41.99999999999999	18
3	47	EA_negative	20	45.0	18
3	47	EA_negative	1	22.0	19
3	47	EA_negative	5	39.166666666666664	19
3	47	EA_negative	10	42.99999999999999	19
3	47	EA_negative	20	46.0	19
3	47	EA_negative	1	21.5	20
3	47	EA_negative	5	39.5	20
3	47	EA_negative	10	44.0	20
3	47	EA_negative	20	46.00000000000001	20
3	47	EA_negative	1	23.0	21
3	47	EA_negative	5	42.5	21
3	47	EA_negative	10	44.0	21
3	47	EA_negative	20	45.0	21
3	47	EA_negative	1	23.333333333333336	22
3	47	EA_negative	5	40.5	22
3	47	EA_negative	10	44.0	22
3	47	EA_negative	20	46.00000000000001	22
3	47	EA_negative	1	24.0	23
3	47	EA_negative	5	39.5	23
3	47	EA_negative	10	44.00000000000001	23
3	47	EA_negative	20	45.00000000000001	23
3	47	EA_negative	1	23.5	24
3	47	EA_negative	5	41.5	24
3	47	EA_negative	10	43.0	24
3	47	EA_negative	20	46.00000000000001	24
3	47	EA_negative	1	20.642857142857142	25
3	47	EA_negative	5	39.21428571428572	25
3	47	EA_negative	10	42.50000000000001	25
3	47	EA_negative	20	46.000000000000014	25
3	47	EA_negative	1	25.5	26
3	47	EA_negative	5	37.166666666666664	26
3	47	EA_negative	10	41.99999999999999	26
3	47	EA_negative	20	46.0	26
3	47	EA_negative	1	23.162857142857142	27
3	47	EA_negative	5	41.31428571428571	27
3	47	EA_negative	10	44.2	27
3	47	EA_negative	20	46.40000000000002	27
3	47	EA_negative	1	21.0	28
3	47	EA_negative	5	39.166666666666664	28
3	47	EA_negative	10	43.0	28
3	47	EA_negative	20	45.0	28
3	47	EA_negative	1	24.0	29
3	47	EA_negative	5	38.166666666666664	29
3	47	EA_negative	10	44.0	29
3	47	EA_negative	20	45.0	29
3	47	EA_negative	1	25.0	30
3	47	EA_negative	5	38.5	30
3	47	EA_negative	10	43.0	30
3	47	EA_negative	20	46.00000000000001	30
3	47	EA_negative	1	24.333333333333336	31
3	47	EA_negative	5	36.5	31
3	47	EA_negative	10	43.00000000000001	31
3	47	EA_negative	20	47.000000000000014	31
4	41	positive	1	17.5	0
4	41	positive	5	24.0	0
4	41	positive	10	31.0	0
4	41	positive	20	36.0	0
4	41	positive	1	15.5	1
4	41	positive	5	26.0	1
4	41	positive	10	31.0	1
4	41	positive	20	37.0	1
4	41	positive	1	17.5	2
4	41	positive	5	26.0	2
4	41	positive	10	33.0	2
4	41	positive	20	37.0	2
4	41	positive	1	15.5	3
